Id,Date,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories
1503960366,4/12/2016,25,13,328,728,1985
1624580081,4/12/2016,0,0,146,1294,1797
1644430081,4/12/2016,2,51,256,1131,1776
1844505072,4/12/2016,0,0,339,1101,1745
1927972279,4/12/2016,0,0,55,734,1863
2022484408,4/12/2016,42,14,227,1157,1728
2026352035,4/12/2016,3,8,181,706,1921
2320127002,4/12/2016,13,9,306,1112,2035
2347167796,4/12/2016,28,13,320,964,1786
2873212765,4/12/2016,2,21,356,1061,1775
3372868164,4/12/2016,0,0,280,1160,1827
3977333714,4/12/2016,44,19,131,777,1949
4020332650,4/12/2016,4,15,331,712,1788
4057192912,4/12/2016,0,0,164,1276,2013
4319703577,4/12/2016,0,0,0,1440,1970
4388161847,4/12/2016,0,0,0,1440,2159
4445114986,4/12/2016,0,0,196,787,1898
4558609924,4/12/2016,0,0,318,1122,1837
4702921684,4/12/2016,0,0,263,718,1947
5553957443,4/12/2016,19,13,277,767,1820
5577150313,4/12/2016,86,16,140,728,2004
6117666160,4/12/2016,0,0,0,1440,1990
6290855005,4/12/2016,0,0,199,1241,1819
6775888955,4/12/2016,0,0,0,1440,1959
6962181067,4/12/2016,50,14,189,796,1896
7007744171,4/12/2016,53,8,355,1024,1821
7086361926,4/12/2016,59,6,153,745,1740
8053475328,4/12/2016,116,8,123,1193,1819
8253242879,4/12/2016,40,2,154,1244,1859
8378563200,4/12/2016,65,15,156,723,1783
8583815059,4/12/2016,0,7,196,1237,0
8792009665,4/12/2016,0,0,116,831,1432
8877689391,4/12/2016,85,7,312,1036,1411
1503960366,4/13/2016,21,19,217,776,1572
1624580081,4/13/2016,0,0,148,1292,1344
1644430081,4/13/2016,30,16,135,1259,1463
1844505072,4/13/2016,0,0,248,1192,1554
1927972279,4/13/2016,0,0,32,986,1604
2022484408,4/13/2016,43,5,292,1100,1435
2026352035,4/13/2016,0,0,238,663,1446
2320127002,4/13/2016,0,0,335,1105,1467
2347167796,4/13/2016,19,32,195,676,1470
2873212765,4/13/2016,0,8,404,1028,1562
3372868164,4/13/2016,16,8,371,1045,1617
3977333714,4/13/2016,31,46,153,754,1492
4020332650,4/13/2016,0,0,0,1440,1402
4057192912,4/13/2016,0,0,160,1280,1670
4319703577,4/13/2016,8,15,96,1234,1401
4388161847,4/13/2016,1,14,150,1275,1404
4445114986,4/13/2016,0,0,194,840,1655
4558609924,4/13/2016,19,7,127,1287,2690
4702921684,4/13/2016,0,0,258,777,1497
5553957443,4/13/2016,0,0,226,647,1334
5577150313,4/13/2016,15,11,144,776,1368
6117666160,4/13/2016,0,0,0,1440,1370
6290855005,4/13/2016,0,0,350,1090,1341
6775888955,4/13/2016,17,18,85,1053,1474
6962181067,4/13/2016,8,24,142,548,1427
7007744171,4/13/2016,56,22,261,1101,1328
7086361926,4/13/2016,31,26,155,744,1393
8053475328,4/13/2016,95,12,156,1177,1359
8253242879,4/13/2016,35,11,96,1298,1002
8378563200,4/13/2016,116,14,169,680,3199
8583815059,4/13/2016,2,23,163,1252,2902
8792009665,4/13/2016,0,0,82,806,3226
8877689391,4/13/2016,108,18,216,1098,2750
1503960366,4/14/2016,30,11,181,1218,3493
1624580081,4/14/2016,0,0,236,1204,3011
1644430081,4/14/2016,5,58,252,1125,2806
1844505072,4/14/2016,0,0,373,843,3300
1927972279,4/14/2016,0,9,88,1292,2430
2022484408,4/14/2016,32,3,257,1148,2140
2026352035,4/14/2016,0,0,197,653,2344
2320127002,4/14/2016,0,0,191,1249,2677
2347167796,4/14/2016,1,48,206,705,2413
2873212765,4/14/2016,0,0,331,1109,2497
3372868164,4/14/2016,6,25,370,1039,3123
3977333714,4/14/2016,5,23,214,801,2489
4020332650,4/14/2016,0,0,3,1437,3108
4057192912,4/14/2016,0,0,0,1440,2498
4319703577,4/14/2016,1,9,339,589,3846
4388161847,4/14/2016,10,35,219,945,2696
4445114986,4/14/2016,0,0,231,717,2580
4558609924,4/14/2016,0,0,279,1161,3324
4702921684,4/14/2016,0,0,271,772,2222
5553957443,4/14/2016,61,41,256,693,2463
5577150313,4/14/2016,118,30,176,662,3328
6117666160,4/14/2016,0,0,0,1440,3404
6290855005,4/14/2016,0,0,363,1077,2987
6775888955,4/14/2016,14,24,105,863,3008
6962181067,4/14/2016,0,0,86,862,2799
7007744171,4/14/2016,34,6,304,1096,1276
7086361926,4/14/2016,35,32,189,787,2030
8053475328,4/14/2016,119,5,193,1123,1860
8253242879,4/14/2016,29,16,33,1362,2130
8378563200,4/14/2016,123,21,174,699,1725
8583815059,4/14/2016,0,0,134,1306,1657
8792009665,4/14/2016,0,0,84,853,1793
8877689391,4/14/2016,68,13,298,1061,1814
1503960366,4/15/2016,29,34,209,726,1366
1624580081,4/15/2016,0,0,96,1344,1349
1644430081,4/15/2016,3,4,170,1263,2062
1844505072,4/15/2016,0,0,176,527,1827
1927972279,4/15/2016,0,0,51,941,1645
2022484408,4/15/2016,27,9,282,1122,1347
2026352035,4/15/2016,0,0,188,687,1347
2320127002,4/15/2016,0,0,245,1195,1347
2347167796,4/15/2016,1,24,284,720,1348
2873212765,4/15/2016,0,0,448,992,1992
3372868164,4/15/2016,0,0,335,1105,1856
3977333714,4/15/2016,15,42,183,644,1763
4020332650,4/15/2016,36,18,87,1299,1541
4057192912,4/15/2016,3,6,88,873,1348
4319703577,4/15/2016,0,0,228,752,1742
4388161847,4/15/2016,0,0,299,837,1549
4445114986,4/15/2016,0,0,350,711,1589
4558609924,4/15/2016,17,30,262,1131,1351
4702921684,4/15/2016,1,8,256,944,1347
5553957443,4/15/2016,58,38,239,689,1347
5577150313,4/15/2016,115,54,199,695,1347
6117666160,4/15/2016,0,6,513,921,1347
6290855005,4/15/2016,0,0,328,1112,1347
6775888955,4/15/2016,0,0,58,976,665
6962181067,4/15/2016,0,0,217,837,2220
7007744171,4/15/2016,0,0,202,1238,2151
7086361926,4/15/2016,30,21,139,864,2383
8053475328,4/15/2016,132,8,158,1142,2221
8253242879,4/15/2016,0,0,105,1335,2064
8378563200,4/15/2016,60,23,190,729,2063
8583815059,4/15/2016,0,0,65,1375,2111
8792009665,4/15/2016,0,0,126,937,2063
8877689391,4/15/2016,106,1,281,1052,2063
1503960366,4/16/2016,36,10,221,773,2064
1624580081,4/16/2016,0,0,176,1264,2093
1644430081,4/16/2016,51,42,212,1135,2499
1844505072,4/16/2016,0,0,147,1293,2324
1927972279,4/16/2016,0,0,0,1440,2100
2022484408,4/16/2016,41,11,151,1237,2638
2026352035,4/16/2016,0,0,150,728,2063
2320127002,4/16/2016,0,0,195,1245,2351
2347167796,4/16/2016,66,72,268,968,2063
2873212765,4/16/2016,47,1,305,1087,2064
3372868164,4/16/2016,0,0,356,1084,2411
3977333714,4/16/2016,31,83,153,663,2505
4020332650,4/16/2016,65,21,55,1222,2195
4319703577,4/16/2016,0,0,194,724,2338
4388161847,4/16/2016,6,9,253,609,2063
4445114986,4/16/2016,0,0,225,716,2383
4558609924,4/16/2016,8,12,308,1112,2229
4702921684,4/16/2016,3,24,335,556,2063
5553957443,4/16/2016,0,0,288,521,2063
5577150313,4/16/2016,184,56,158,472,2063
6117666160,4/16/2016,7,15,518,502,2063
6290855005,4/16/2016,0,0,258,1182,1383
6775888955,4/16/2016,36,18,9,1377,2390
6962181067,4/16/2016,50,3,280,741,2601
7007744171,4/16/2016,0,0,203,1155,2312
7086361926,4/16/2016,0,0,3,1437,2525
8053475328,4/16/2016,96,6,83,1255,2177
8253242879,4/16/2016,6,51,115,1268,2782
8378563200,4/16/2016,64,21,142,563,2770
8583815059,4/16/2016,0,0,0,1440,2489
8792009665,4/16/2016,0,0,12,1428,2897
8877689391,4/16/2016,94,29,429,888,3158
1503960366,4/17/2016,38,20,164,539,2638
1624580081,4/17/2016,15,22,127,1276,2069
1644430081,4/17/2016,29,13,186,1212,2529
1844505072,4/17/2016,2,8,199,1231,2470
1927972279,4/17/2016,0,0,0,1440,2793
2022484408,4/17/2016,28,29,331,1052,2463
2026352035,4/17/2016,0,0,60,1053,2296
2320127002,4/17/2016,0,0,249,1191,2611
2347167796,4/17/2016,1,7,249,508,2732
2873212765,4/17/2016,0,8,160,1272,2380
3372868164,4/17/2016,11,2,322,1105,2473
3977333714,4/17/2016,11,58,205,600,2752
4020332650,4/17/2016,0,0,2,1438,2649
4319703577,4/17/2016,0,0,3,1363,2609
4388161847,4/17/2016,0,0,201,721,2498
4445114986,4/17/2016,0,0,114,1219,1995
4558609924,4/17/2016,7,19,304,1110,1848
4702921684,4/17/2016,12,66,302,437,2709
5553957443,4/17/2016,0,0,46,943,2797
5577150313,4/17/2016,200,37,159,525,2544
6117666160,4/17/2016,0,0,312,702,1853
6290855005,4/17/2016,31,12,225,1172,1459
6775888955,4/17/2016,5,24,19,1392,1521
6962181067,4/17/2016,5,13,295,634,1431
7007744171,4/17/2016,0,0,305,1135,1444
7086361926,4/17/2016,0,0,0,1440,1373
8053475328,4/17/2016,111,21,195,1113,1214
8253242879,4/17/2016,41,5,157,1237,1419
8378563200,4/17/2016,0,0,93,599,1356
8583815059,4/17/2016,0,0,0,1440,1667
8792009665,4/17/2016,0,0,0,1440,1370
8877689391,4/17/2016,58,15,307,1060,1399
1503960366,4/18/2016,42,16,233,1149,1916
1624580081,4/18/2016,17,7,202,1214,1401
1644430081,4/18/2016,15,33,121,1271,1576
1844505072,4/18/2016,0,12,217,1211,1595
1927972279,4/18/2016,0,0,17,1423,1593
2022484408,4/18/2016,48,3,311,1078,1649
2026352035,4/18/2016,0,0,182,1062,1692
2320127002,4/18/2016,0,7,260,1173,1506
2347167796,4/18/2016,11,16,206,678,1447
2873212765,4/18/2016,1,6,311,1122,1690
3372868164,4/18/2016,20,7,343,1070,1604
3977333714,4/18/2016,4,95,214,605,1658
4020332650,4/18/2016,0,0,2,1438,1926
4319703577,4/18/2016,1,9,58,824,1736
4388161847,4/18/2016,27,8,239,1017,1491
4445114986,4/18/2016,25,6,162,1247,1555
4558609924,4/18/2016,14,15,331,1080,1869
4702921684,4/18/2016,22,30,191,890,1141
5553957443,4/18/2016,0,0,206,622,1698
5577150313,4/18/2016,114,32,130,623,1364
6117666160,4/18/2016,0,0,241,759,2124
6290855005,4/18/2016,0,0,271,1169,2003
6775888955,4/18/2016,30,31,146,1233,1696
6962181067,4/18/2016,13,42,238,689,1801
7007744171,4/18/2016,48,31,284,1077,1724
7086361926,4/18/2016,61,51,114,1136,1852
8053475328,4/18/2016,102,6,195,1137,1905
8253242879,4/18/2016,16,16,130,1278,1811
8378563200,4/18/2016,117,10,174,720,1922
8583815059,4/18/2016,4,22,105,1309,1610
8792009665,4/18/2016,0,0,0,1440,1851
8877689391,4/18/2016,29,5,191,1215,1804
1503960366,4/19/2016,50,31,264,775,1725
1624580081,4/19/2016,0,0,141,1299,1654
1644430081,4/19/2016,5,58,278,1099,1632
1844505072,4/19/2016,0,0,10,1430,1481
1927972279,4/19/2016,0,0,0,1440,1473
2022484408,4/19/2016,31,7,250,1152,1410
2026352035,4/19/2016,0,0,141,785,1779
2320127002,4/19/2016,0,11,228,1201,1403
2347167796,4/19/2016,0,7,382,648,1613
2873212765,4/19/2016,0,0,389,1051,1878
3372868164,4/19/2016,0,0,376,1064,1426
3977333714,4/19/2016,19,67,221,738,1780
4020332650,4/19/2016,0,0,0,1440,1742
4319703577,4/19/2016,0,0,311,604,1972
4388161847,4/19/2016,20,16,249,704,1821
4445114986,4/19/2016,0,0,121,895,1630
4558609924,4/19/2016,1,9,248,1182,1899
4702921684,4/19/2016,10,8,179,757,1903
5553957443,4/19/2016,69,28,249,756,1125
5577150313,4/19/2016,108,23,111,733,2344
6117666160,4/19/2016,0,0,480,425,2038
6290855005,4/19/2016,0,0,321,1119,2010
6775888955,4/19/2016,0,0,0,1440,2133
6962181067,4/19/2016,35,41,195,659,2670
7007744171,4/19/2016,53,17,304,1066,1882
7086361926,4/19/2016,67,69,124,671,1944
8053475328,4/19/2016,90,7,191,1152,2346
8253242879,4/19/2016,0,0,164,1276,2198
8378563200,4/19/2016,120,19,154,737,2048
8583815059,4/19/2016,7,10,166,1257,1946
8792009665,4/19/2016,0,0,0,1440,2629
8877689391,4/19/2016,82,13,214,1131,2187
1503960366,4/20/2016,28,12,205,818,2095
1624580081,4/20/2016,0,0,151,1289,1861
1644430081,4/20/2016,0,0,125,1315,2194
1844505072,4/20/2016,0,0,1,1439,1854
1927972279,4/20/2016,0,0,0,1440,403
2022484408,4/20/2016,48,63,276,1053,1982
2026352035,4/20/2016,0,0,327,623,2004
2320127002,4/20/2016,0,11,283,1146,1893
2347167796,4/20/2016,11,43,269,1011,2063
2873212765,4/20/2016,22,5,378,1035,2148
3372868164,4/20/2016,15,3,274,1148,1529
3977333714,4/20/2016,2,98,164,845,1890
4020332650,4/20/2016,0,0,0,1440,1956
4319703577,4/20/2016,0,18,306,671,2094
4388161847,4/20/2016,19,42,228,696,1970
4445114986,4/20/2016,0,0,137,841,2241
4558609924,4/20/2016,0,0,222,1218,2021
4702921684,4/20/2016,2,29,260,717,1898
5553957443,4/20/2016,0,0,148,598,1907
5577150313,4/20/2016,87,16,113,773,1882
6117666160,4/20/2016,26,10,349,587,1966
6290855005,4/20/2016,0,0,258,1182,1835
6775888955,4/20/2016,70,113,178,1079,1780
6962181067,4/20/2016,48,4,297,639,1830
7007744171,4/20/2016,60,33,347,1000,1739
7086361926,4/20/2016,87,13,145,797,1878
8053475328,4/20/2016,89,5,158,695,1906
8253242879,4/20/2016,5,18,216,1201,2015
8378563200,4/20/2016,82,8,169,763,1971
8583815059,4/20/2016,0,27,167,1246,1910
8792009665,4/20/2016,0,10,139,744,1897
8877689391,4/20/2016,73,19,225,1123,2096
1503960366,4/21/2016,19,8,211,838,1906
1624580081,4/21/2016,0,0,186,1254,1962
1644430081,4/21/2016,0,0,38,1402,1826
1844505072,4/21/2016,2,13,308,1117,1431
1927972279,4/21/2016,0,0,0,1440,1788
2022484408,4/21/2016,104,53,255,1028,2093
2026352035,4/21/2016,0,0,153,749,2065
2320127002,4/21/2016,1,10,127,1302,1908
2347167796,4/21/2016,23,26,208,761,1908
2873212765,4/21/2016,2,10,371,1057,1964
3372868164,4/21/2016,18,9,376,1037,2014
3977333714,4/21/2016,0,0,242,712,1985
4020332650,4/21/2016,0,0,0,1440,1867
4319703577,4/21/2016,0,0,34,1265,2124
4388161847,4/21/2016,7,12,272,853,1669
4445114986,4/21/2016,0,0,215,756,1995
4558609924,4/21/2016,6,21,432,844,1921
4702921684,4/21/2016,4,41,144,901,2010
5553957443,4/21/2016,47,42,177,801,2057
5577150313,4/21/2016,110,74,175,670,2095
6117666160,4/21/2016,11,19,294,579,1972
6290855005,4/21/2016,0,0,0,1440,2044
6775888955,4/21/2016,0,0,0,1440,1946
6962181067,4/21/2016,53,27,214,708,1237
7007744171,4/21/2016,30,34,327,1049,1450
7086361926,4/21/2016,19,6,206,758,1495
8053475328,4/21/2016,100,6,170,1164,1433
8253242879,4/21/2016,49,20,172,1199,1468
8378563200,4/21/2016,137,16,145,677,1625
8583815059,4/21/2016,35,18,158,1229,1529
8792009665,4/21/2016,0,0,9,1431,1584
8877689391,4/21/2016,82,13,226,1119,1638
1503960366,4/22/2016,66,27,130,1217,1554
1624580081,4/22/2016,0,0,199,1241,1397
1644430081,4/22/2016,0,0,86,1354,1481
1844505072,4/22/2016,0,0,220,1220,1638
1927972279,4/22/2016,0,0,10,1430,1655
2022484408,4/22/2016,52,10,273,1105,1570
2026352035,4/22/2016,0,0,162,712,1551
2320127002,4/22/2016,0,0,266,1174,1377
2347167796,4/22/2016,9,27,206,781,1407
2873212765,4/22/2016,46,0,366,1028,1545
3372868164,4/22/2016,0,0,206,1234,1650
3977333714,4/22/2016,33,12,188,731,1501
4020332650,4/22/2016,0,0,0,1440,1760
4319703577,4/22/2016,1,19,176,709,1710
4388161847,4/22/2016,77,25,220,945,1628
4445114986,4/22/2016,0,0,317,706,1618
4558609924,4/22/2016,20,25,273,1122,1590
4702921684,4/22/2016,0,0,72,1341,1574
5553957443,4/22/2016,25,16,270,781,1633
5577150313,4/22/2016,62,30,200,823,1667
6117666160,4/22/2016,0,0,402,413,1630
6290855005,4/22/2016,0,0,302,1138,52
6775888955,4/22/2016,0,0,20,1420,3654
6962181067,4/22/2016,30,33,240,659,1981
7007744171,4/22/2016,64,50,261,1065,2011
7086361926,4/22/2016,58,59,153,762,2951
8053475328,4/22/2016,60,3,117,1260,3051
8253242879,4/22/2016,0,0,120,1320,1990
8378563200,4/22/2016,113,12,159,769,1995
8583815059,4/22/2016,4,54,212,1170,1980
8792009665,4/22/2016,1,20,195,817,1980
8877689391,4/22/2016,61,2,236,1141,1980
1503960366,4/23/2016,41,21,262,732,1980
1624580081,4/23/2016,0,0,227,1213,1980
1644430081,4/23/2016,0,15,160,1265,1980
1844505072,4/23/2016,0,0,139,1301,1980
1927972279,4/23/2016,0,0,145,1295,1980
2022484408,4/23/2016,0,0,249,1191,1980
2026352035,4/23/2016,0,0,432,458,1980
2320127002,4/23/2016,0,0,242,1129,1980
2347167796,4/23/2016,32,35,360,591,1980
2873212765,4/23/2016,28,5,330,1077,1980
3372868164,4/23/2016,20,2,303,1115,2207
3977333714,4/23/2016,0,92,252,724,2828
4020332650,4/23/2016,0,0,0,1440,3879
4319703577,4/23/2016,0,0,233,546,3429
4388161847,4/23/2016,58,5,215,749,2704
4445114986,4/23/2016,0,0,201,1239,2975
4558609924,4/23/2016,5,5,308,1122,3089
4702921684,4/23/2016,9,66,408,469,2785
5553957443,4/23/2016,0,0,272,443,2926
5577150313,4/23/2016,24,24,223,627,2645
6117666160,4/23/2016,0,0,512,468,1120
6290855005,4/23/2016,33,0,0,1407,2286
6775888955,4/23/2016,0,0,0,1440,2306
6962181067,4/23/2016,58,41,347,484,1776
7007744171,4/23/2016,2,25,223,1190,1527
7086361926,4/23/2016,0,0,90,1350,2115
8053475328,4/23/2016,125,14,223,741,2135
8253242879,4/23/2016,30,26,191,1193,2302
8378563200,4/23/2016,19,10,136,740,1985
8583815059,4/23/2016,7,44,238,1151,1884
8792009665,4/23/2016,8,45,232,795,1464
8877689391,4/23/2016,102,6,300,1032,1632
1503960366,4/24/2016,39,5,238,709,2200
1624580081,4/24/2016,16,18,185,1221,2220
1644430081,4/24/2016,0,0,89,1351,1792
1844505072,4/24/2016,0,0,0,1440,1886
1927972279,4/24/2016,1,6,75,1358,1945
2022484408,4/24/2016,37,26,216,1161,1880
2026352035,4/24/2016,0,0,164,704,2314
2320127002,4/24/2016,0,0,204,1236,2236
2347167796,4/24/2016,0,0,360,584,2324
2873212765,4/24/2016,46,1,190,1203,2367
3372868164,4/24/2016,14,7,292,1127,2175
3977333714,4/24/2016,30,95,129,660,2092
4020332650,4/24/2016,0,0,0,1440,1593
4319703577,4/24/2016,1,5,191,692,2270
4388161847,4/24/2016,14,8,239,584,2235
4445114986,4/24/2016,0,0,244,1196,2282
4558609924,4/24/2016,0,0,395,1045,2530
4702921684,4/24/2016,15,95,281,542,2266
5553957443,4/24/2016,0,0,104,582,2158
5577150313,4/24/2016,210,65,141,425,1792
6117666160,4/24/2016,0,0,362,711,2345
6290855005,4/24/2016,0,0,258,1182,2260
6775888955,4/24/2016,11,18,11,1400,2232
6962181067,4/24/2016,0,0,199,720,257
7007744171,4/24/2016,0,0,419,1021,2955
7086361926,4/24/2016,0,0,125,566,3092
8053475328,4/24/2016,129,33,182,1096,2998
8253242879,4/24/2016,41,4,82,1313,3066
8378563200,4/24/2016,0,0,135,734,3073
8583815059,4/24/2016,2,44,206,1188,2572
8792009665,4/24/2016,3,8,19,1410,3274
8877689391,4/24/2016,64,1,227,1148,3015
1503960366,4/25/2016,73,14,216,814,3083
1624580081,4/25/2016,0,0,202,1238,3069
1644430081,4/25/2016,8,1,94,1337,3544
1844505072,4/25/2016,0,0,0,1440,3306
1927972279,4/25/2016,0,0,12,1303,2885
2022484408,4/25/2016,44,8,217,1171,3288
2026352035,4/25/2016,0,0,260,821,2929
2320127002,4/25/2016,3,5,152,1280,3074
2347167796,4/25/2016,15,11,277,653,2969
2873212765,4/25/2016,0,0,359,1081,2979
3372868164,4/25/2016,0,0,416,1024,3283
3977333714,4/25/2016,50,9,133,781,2926
4020332650,4/25/2016,0,0,0,1440,3147
4319703577,4/25/2016,0,8,390,544,3290
4388161847,4/25/2016,11,31,301,1054,3162
4445114986,4/25/2016,0,0,179,916,2899
4558609924,4/25/2016,18,10,340,993,3425
4702921684,4/25/2016,6,15,270,730,4022
5553957443,4/25/2016,51,11,201,732,3934
5577150313,4/25/2016,61,38,214,743,3013
6117666160,4/25/2016,0,0,0,1440,3061
6290855005,4/25/2016,8,3,249,1180,2954
6775888955,4/25/2016,33,13,92,1302,1623
6962181067,4/25/2016,35,31,282,637,2113
7007744171,4/25/2016,51,24,379,986,2095
7086361926,4/25/2016,69,39,129,706,2194
8053475328,4/25/2016,118,9,209,1104,2496
8253242879,4/25/2016,7,54,118,1261,2180
8378563200,4/25/2016,117,16,141,692,1933
8583815059,4/25/2016,18,6,122,1294,2248
8792009665,4/25/2016,0,0,0,1440,1954
8877689391,4/25/2016,113,8,218,1101,1974
1503960366,4/26/2016,31,23,279,833,2150
1624580081,4/26/2016,0,0,140,1300,2432
1644430081,4/26/2016,11,41,223,1165,2149
1844505072,4/26/2016,0,0,0,1440,2247
1927972279,4/26/2016,0,0,192,1058,2070
2022484408,4/26/2016,55,24,275,1086,2291
2026352035,4/26/2016,0,0,288,1018,2361
2320127002,4/26/2016,0,0,147,1293,2203
2347167796,4/26/2016,0,0,227,732,2196
2873212765,4/26/2016,2,5,309,1124,2363
3372868164,4/26/2016,22,2,333,1083,2246
3977333714,4/26/2016,7,95,170,797,2336
