Id,Date,TotalMinutesAsleep
8792009665,4/12/2016,458
8378563200,4/12/2016,338
7086361926,4/12/2016,514
6962181067,4/12/2016,366
5577150313,4/12/2016,419
5553957443,4/12/2016,441
4702921684,4/12/2016,425
4445114986,4/12/2016,429
4020332650,4/12/2016,501
3977333714,4/12/2016,274
2026352035,4/12/2016,503
1927972279,4/12/2016,750
1503960366,4/12/2016,327
8792009665,4/13/2016,531
8378563200,4/13/2016,447
7086361926,4/13/2016,451
6962181067,4/13/2016,630
6775888955,4/13/2016,235
5577150313,4/13/2016,432
5553957443,4/13/2016,455
4702921684,4/13/2016,400
4445114986,4/13/2016,370
3977333714,4/13/2016,295
2347167796,4/13/2016,467
2026352035,4/13/2016,531
1927972279,4/13/2016,398
1503960366,4/13/2016,384
8792009665,4/14/2016,486
8378563200,4/14/2016,424
7086361926,4/14/2016,472
6962181067,4/14/2016,508
6775888955,4/14/2016,423
5577150313,4/14/2016,477
5553957443,4/14/2016,357
4702921684,4/14/2016,384
4445114986,4/14/2016,441
4319703577,4/14/2016,535
3977333714,4/14/2016,291
2347167796,4/14/2016,445
2026352035,4/14/2016,545
8792009665,4/15/2016,363
8378563200,4/15/2016,513
7086361926,4/15/2016,377
6962181067,4/15/2016,370
6775888955,4/15/2016,391
5577150313,4/15/2016,392
5553957443,4/15/2016,377
4702921684,4/15/2016,253
4445114986,4/15/2016,337
4388161847,4/15/2016,499
4319703577,4/15/2016,465
3977333714,4/15/2016,424
2347167796,4/15/2016,452
2026352035,4/15/2016,523
1927972279,4/15/2016,475
1844505072,4/15/2016,644
1503960366,4/15/2016,412
8378563200,4/16/2016,611
7007744171,4/16/2016,79
6962181067,4/16/2016,357
6117666160,4/16/2016,380
5577150313,4/16/2016,406
5553957443,4/16/2016,651
4702921684,4/16/2016,382
4445114986,4/16/2016,462
4388161847,4/16/2016,426
4319703577,4/16/2016,506
4020332650,4/16/2016,77
3977333714,4/16/2016,283
2026352035,4/16/2016,524
1503960366,4/16/2016,340
8378563200,4/17/2016,525
6962181067,4/17/2016,427
6117666160,4/17/2016,336
5577150313,4/17/2016,549
5553957443,4/17/2016,350
4702921684,4/17/2016,591
4445114986,4/17/2016,98
4388161847,4/17/2016,619
3977333714,4/17/2016,381
2347167796,4/17/2016,556
2026352035,4/17/2016,437
1503960366,4/17/2016,700
8378563200,4/18/2016,398
6962181067,4/18/2016,442
6117666160,4/18/2016,493
5577150313,4/18/2016,527
5553957443,4/18/2016,520
4702921684,4/18/2016,293
4388161847,4/18/2016,99
4319703577,4/18/2016,515
3977333714,4/18/2016,412
2347167796,4/18/2016,500
8378563200,4/19/2016,387
7086361926,4/19/2016,472
6962181067,4/19/2016,476
6117666160,4/19/2016,465
5577150313,4/19/2016,449
5553957443,4/19/2016,357
4702921684,4/19/2016,457
4445114986,4/19/2016,388
4388161847,4/19/2016,329
4319703577,4/19/2016,461
3977333714,4/19/2016,219
2347167796,4/19/2016,465
2026352035,4/19/2016,498
1503960366,4/19/2016,304
8792009665,4/20/2016,528
8378563200,4/20/2016,381
8053475328,4/20/2016,486
7086361926,4/20/2016,492
6962181067,4/20/2016,418
6117666160,4/20/2016,474
5577150313,4/20/2016,447
5553957443,4/20/2016,658
4702921684,4/20/2016,454
4445114986,4/20/2016,439
4388161847,4/20/2016,421
4319703577,4/20/2016,523
3977333714,4/20/2016,152
2026352035,4/20/2016,461
1503960366,4/20/2016,360
8378563200,4/21/2016,396
7086361926,4/21/2016,390
6962181067,4/21/2016,451
6117666160,4/21/2016,508
5577150313,4/21/2016,414
5553957443,4/21/2016,399
4702921684,4/21/2016,425
4558609924,4/21/2016,126
4445114986,4/21/2016,436
4388161847,4/21/2016,442
4319703577,4/21/2016,59
3977333714,4/21/2016,332
2347167796,4/21/2016,460
2026352035,4/21/2016,477
1503960366,4/21/2016,325
8792009665,4/22/2016,391
8378563200,4/22/2016,441
7086361926,4/22/2016,428
6962181067,4/22/2016,425
6117666160,4/22/2016,480
5577150313,4/22/2016,338
5553957443,4/22/2016,322
4445114986,4/22/2016,388
4388161847,4/22/2016,82
4319703577,4/22/2016,533
3977333714,4/22/2016,355
2347167796,4/22/2016,405
2026352035,4/22/2016,520
8792009665,4/23/2016,339
8378563200,4/23/2016,565
8053475328,4/23/2016,331
6962181067,4/23/2016,528
6117666160,4/23/2016,492
5577150313,4/23/2016,384
5553957443,4/23/2016,631
4702921684,4/23/2016,465
4388161847,4/23/2016,478
4319703577,4/23/2016,692
3977333714,4/23/2016,235
2347167796,4/23/2016,374
2320127002,4/23/2016,61
2026352035,4/23/2016,522
1503960366,4/23/2016,361
8378563200,4/24/2016,458
7086361926,4/24/2016,681
6962181067,4/24/2016,511
6117666160,4/24/2016,353
5577150313,4/24/2016,543
5553957443,4/24/2016,553
4702921684,4/24/2016,480
4388161847,4/24/2016,552
4319703577,4/24/2016,467
3977333714,4/24/2016,310
2347167796,4/24/2016,442
2026352035,4/24/2016,555
1503960366,4/24/2016,430
8378563200,4/25/2016,388
7086361926,4/25/2016,446
6962181067,4/25/2016,400
5577150313,4/25/2016,421
5553957443,4/25/2016,433
4702921684,4/25/2016,370
4445114986,4/25/2016,328
4319703577,4/25/2016,488
3977333714,4/25/2016,262
2347167796,4/25/2016,433
2026352035,4/25/2016,506
1503960366,4/25/2016,277
8378563200,4/26/2016,550
7086361926,4/26/2016,485
6962181067,4/26/2016,441
5577150313,4/26/2016,354
5553957443,4/26/2016,412
4702921684,4/26/2016,421
4558609924,4/26/2016,103
4445114986,4/26/2016,353
4388161847,4/26/2016,319
4319703577,4/26/2016,505
3977333714,4/26/2016,250
2347167796,4/26/2016,436
1927972279,4/26/2016,296
1503960366,4/26/2016,245
8792009665,4/27/2016,423
8378563200,4/27/2016,531
7086361926,4/27/2016,469
6962181067,4/27/2016,455
6117666160,4/27/2016,542
5577150313,4/27/2016,424
5553957443,4/27/2016,347
4702921684,4/27/2016,432
4445114986,4/27/2016,332
4388161847,4/27/2016,439
4319703577,4/27/2016,286
3977333714,4/27/2016,349
2347167796,4/27/2016,448
2026352035,4/27/2016,508
8792009665,4/28/2016,402
8378563200,4/28/2016,506
7086361926,4/28/2016,354
6962181067,4/28/2016,440
6117666160,4/28/2016,393
5577150313,4/28/2016,361
5553957443,4/28/2016,421
4702921684,4/28/2016,442
4445114986,4/28/2016,419
4388161847,4/28/2016,428
4319703577,4/28/2016,497
3977333714,4/28/2016,261
2347167796,4/28/2016,408
2026352035,4/28/2016,513
1927972279,4/28/2016,166
1503960366,4/28/2016,366
8792009665,4/29/2016,398
8378563200,4/29/2016,527
6962181067,4/29/2016,433
6117666160,4/29/2016,600
5577150313,4/29/2016,459
5553957443,4/29/2016,450
4702921684,4/29/2016,433
4558609924,4/29/2016,171
4445114986,4/29/2016,106
4319703577,4/29/2016,523
3977333714,4/29/2016,333
2347167796,4/29/2016,411
2026352035,4/29/2016,490
1644430081,4/29/2016,119
1503960366,4/29/2016,341
8792009665,4/30/2016,343
8378563200,4/30/2016,468
7086361926,4/30/2016,485
6962181067,4/30/2016,422
5577150313,4/30/2016,412
5553957443,4/30/2016,775
4702921684,4/30/2016,479
4445114986,4/30/2016,322
4388161847,4/30/2016,409
4319703577,4/30/2016,490
3977333714,4/30/2016,237
2026352035,4/30/2016,573
1844505072,4/30/2016,722
1644430081,4/30/2016,124
1503960366,4/30/2016,404
8792009665,5/1/2016,503
8378563200,5/1/2016,475
7086361926,5/1/2016,388
7007744171,5/1/2016,58
6962181067,5/1/2016,411
6117666160,5/1/2016,507
5577150313,5/1/2016,379
5553957443,5/1/2016,622
4558609924,5/1/2016,115
4445114986,5/1/2016,439
4388161847,5/1/2016,547
4319703577,5/1/2016,484
3977333714,5/1/2016,383
2026352035,5/1/2016,527
1844505072,5/1/2016,590
1503960366,5/1/2016,369
8378563200,5/10/2016,342
6962181067,5/10/2016,469
5577150313,5/10/2016,504
5553957443,5/10/2016,418
4702921684,5/10/2016,416
4445114986,5/10/2016,405
4388161847,5/10/2016,354
4319703577,5/10/2016,487
4020332650,5/10/2016,442
3977333714,5/10/2016,312
2026352035,5/10/2016,357
1503960366,5/10/2016,383
8378563200,5/11/2016,368
7086361926,5/11/2016,451
6962181067,5/11/2016,452
5577150313,5/11/2016,431
5553957443,5/11/2016,463
4702921684,5/11/2016,354
4445114986,5/11/2016,499
4388161847,5/11/2016,469
4319703577,5/11/2016,529
2026352035,5/11/2016,523
1503960366,5/11/2016,285
8378563200,5/12/2016,496
7086361926,5/12/2016,444
6962181067,5/12/2016,516
5553957443,5/12/2016,438
4702921684,5/12/2016,404
4445114986,5/12/2016,483
4319703577,5/12/2016,302
2026352035,5/12/2016,456
8792009665,5/2/2016,415
8378563200,5/2/2016,351
7086361926,5/2/2016,440
6962181067,5/2/2016,466
5577150313,5/2/2016,525
5553957443,5/2/2016,409
4445114986,5/2/2016,502
4388161847,5/2/2016,368
4319703577,5/2/2016,478
3977333714,5/2/2016,230
2026352035,5/2/2016,511
1644430081,5/2/2016,796
1503960366,5/2/2016,277
8792009665,5/3/2016,516
8378563200,5/3/2016,405
7086361926,5/3/2016,456
6962181067,5/3/2016,394
5577150313,5/3/2016,508
5553957443,5/3/2016,380
4702921684,5/3/2016,327
4445114986,5/3/2016,417
4319703577,5/3/2016,474
4020332650,5/3/2016,322
3977333714,5/3/2016,292
1503960366,5/3/2016,273
8792009665,5/4/2016,439
8378563200,5/4/2016,441
7086361926,5/4/2016,420
6962181067,5/4/2016,442
5577150313,5/4/2016,603
5553957443,5/4/2016,447
4702921684,5/4/2016,412
4445114986,5/4/2016,337
4388161847,5/4/2016,390
4020332650,5/4/2016,478
3977333714,5/4/2016,213
2026352035,5/4/2016,538
8378563200,5/5/2016,381
6962181067,5/5/2016,467
6117666160,5/5/2016,392
5577150313,5/5/2016,74
5553957443,5/5/2016,419
4702921684,5/5/2016,414
4445114986,5/5/2016,462
4388161847,5/5/2016,471
4020332650,5/5/2016,226
3977333714,5/5/2016,318
2026352035,5/5/2016,468
1503960366,5/5/2016,247
8378563200,5/6/2016,323
7086361926,5/6/2016,322
6962181067,5/6/2016,443
6117666160,5/6/2016,658
5553957443,5/6/2016,400
4702921684,5/6/2016,404
4445114986,5/6/2016,374
4319703577,5/6/2016,450
4020332650,5/6/2016,385
3977333714,5/6/2016,323
2026352035,5/6/2016,524
1503960366,5/6/2016,334
8378563200,5/7/2016,459
8053475328,5/7/2016,74
7086361926,5/7/2016,530
6962181067,5/7/2016,298
6117666160,5/7/2016,498
5553957443,5/7/2016,442
4702921684,5/7/2016,520
4445114986,5/7/2016,401
4388161847,5/7/2016,472
4319703577,5/7/2016,507
3977333714,5/7/2016,237
2026352035,5/7/2016,511
1503960366,5/7/2016,331
8378563200,5/8/2016,545
7086361926,5/8/2016,481
6962181067,5/8/2016,541
6117666160,5/8/2016,555
5553957443,5/8/2016,568
4558609924,5/8/2016,123
4445114986,5/8/2016,361
4388161847,5/8/2016,529
4319703577,5/8/2016,602
4020332650,5/8/2016,364
3977333714,5/8/2016,259
2026352035,5/8/2016,541
1644430081,5/8/2016,137
1503960366,5/8/2016,594
8378563200,5/9/2016,359
7086361926,5/9/2016,427
6962181067,5/9/2016,489
6117666160,5/9/2016,492
5553957443,5/9/2016,453
4702921684,5/9/2016,435
4445114986,5/9/2016,457
4388161847,5/9/2016,62
4319703577,5/9/2016,535
2026352035,5/9/2016,531
1503960366,5/9/2016,338
